State,Region
Alabama,South
Alaska,West
Arizona,West
Arkansas,South
California,West
Colorado,West
Connecticut,Northeast
Delaware,Northeast
District of Columbia,Northeast
Florida,South
Georgia,South
Hawaii,West
Idaho,West
Illinois,Midwest
Indiana,Midwest
Iowa,Midwest
Kansas,Midwest
Kentucky,Midwest
Louisiana,South
Maine,Northeast
Maryland,Northeast
Massachusetts,Northeast
Michigan,Midwest
Minnesota,Midwest
Mississippi,South
Missouri,Midwest
Montana,West
Nebraska,Midwest
Nevada,West
New Hampshire,Northeast
New Jersey,Northeast
New Mexico,West
New York,Northeast
North Carolina,South
North Dakota,Midwest
Ohio,Midwest
Oklahoma,Midwest
Oregon,West
Pennsylvania,Northeast
Rhode Island,Northeast
South Carolina,South
South Dakota,Midwest
Tennessee,South
Texas,Texas
Utah,West
Vermont,Northeast
Virginia,South
Washington,West
West Virginia,South
Wisconsin,Midwest
Wyoming,West
Puerto Rico,Puerto Rico
